iter	Passed	Remaining
427	971	1298
428	973	1295
429	974	1291
430	979	1293
431	981	1290
432	983	1287
433	984	1284
434	986	1281
435	987	1278
436	989	1274
437	991	1271
438	994	1270
439	996	1267
440	998	1265
441	1000	1263
442	1002	1261
443	1009	1264
444	1012	1262
445	1014	1259
446	1016	1257
447	1027	1266
448	1029	1263
449	1031	1261
450	1033	1258
451	1039	1259
452	1040	1257
453	1042	1254
454	1049	1257
455	1053	1256
456	1055	1254
457	1058	1252
458	1061	1250
459	1063	1248
460	1065	1245
461	1068	1243
462	1070	1241
463	1072	1238
464	1074	1236
465	1125	1289
466	1127	1287
467	1129	1284
468	1131	1281
469	1133	1278
470	1135	1275
471	1137	1272
472	1142	1272
473	1145	1271
474	1147	1268
475	1149	1265
476	1207	1324
477	1209	1320
478	1211	1317
479	1213	1314
480	1214	1310
481	1217	1307
482	1219	1305
483	1221	1302
484	1223	1299
485	1225	1296
486	1227	1293
487	1229	1289
488	1231	1286
489	1234	1285
490	1237	1283
491	1276	1317
492	1277	1314
493	1279	1310
494	1281	1307
495	1286	1307
496	1288	1303
497	1290	1301
498	1292	1297
499	1295	1295
500	1303	1298
501	1305	1295
502	1349	1333
503	1352	1330
504	1401	1373
505	1404	1370
506	1406	1367
507	1408	1364
508	1415	1365
509	1417	1362
510	1428	1367
511	1432	1364
512	1436	1363
513	1437	1359
514	1441	1357
515	1444	1355
516	1446	1351
517	1468	1366
518	1471	1363
519	1483	1369
520	1489	1369
521	1493	1367
522	1495	1364
523	1508	1370
524	1510	1366
525	1512	1362
526	1514	1359
527	1516	1355
528	1518	1351
529	1543	1368
530	1566	1383
531	1573	1383
532	1582	1386
533	1590	1387
534	1594	1385
535	1596	1381
536	1598	1378
537	1603	1376
538	1605	1372
539	1607	1368
540	1658	1407
541	1661	1403
542	1663	1399
543	1667	1398
544	1672	1395
545	1674	1392
546	1680	1391
547	1693	1397
548	1697	1394
549	1699	1390
550	1702	1387
551	1704	1383
552	1705	1378
553	1727	1390
554	1740	1395
555	1742	1391
556	1748	1390
557	1754	1389
558	1767	1394
559	1769	1390
560	1772	1386
561	1785	1391
562	1788	1388
563	1790	1384
564	1794	1381
565	1838	1409
566	1840	1405
567	1845	1403
568	1849	1401
569	1851	1397
570	1854	1392
571	1856	1388
572	1866	1390
573	1868	1386
574	1869	1382
575	1872	1378
576	1886	1382
577	1888	1378
578	1895	1377
579	1898	1374
580	1901	1371
581	1904	1367
582	1909	1365
583	1911	1361
584	1913	1357
585	1916	1353
586	1918	1349
587	1920	1345
588	1929	1346
589	1932	1342
590	1934	1338
591	1942	1338
592	1950	1338
593	1960	1339
594	1962	1335
595	1964	1331
596	1967	1327
597	1973	1326
598	1978	1324
599	1980	1320
600	1982	1316
601	1984	1311
602	1986	1307
603	1988	1303
604	1990	1299
605	1992	1295
606	1993	1290
607	1996	1286
608	2004	1287
609	2006	1282
610	2009	1279
611	2011	1275
612	2013	1270
613	2018	1268
614	2020	1264
615	2022	1260
616	2025	1257
617	2026	1252
618	2031	1250
619	2033	1246
620	2035	1241
621	2039	1239
622	2041	1235
623	2043	1231
624	2046	1227
625	2049	1224
626	2051	1220
627	2053	1216
628	2055	1212
629	2057	1208
630	2062	1205
631	2065	1202
632	2067	1198
633	2071	1195
634	2073	1191
635	2077	1189
636	2079	1185
637	2082	1181
638	2084	1177
639	2087	1173
640	2089	1170
641	2092	1166
642	2095	1163
643	2097	1159
644	2099	1155
645	2101	1151
646	2108	1150
647	2110	1146
648	2114	1143
649	2115	1139
650	2118	1135
651	2120	1131
652	2126	1130
653	2130	1127
654	2141	1128
655	2147	1126
656	2149	1122
657	2151	1118
658	2159	1117
659	2161	1113
660	2163	1109
661	2165	1105
662	2167	1101
663	2174	1100
664	2176	1096
665	2177	1092
666	2179	1087
667	2180	1083
668	2182	1079
669	2183	1075
670	2188	1072
671	2189	1068
672	2191	1064
673	2192	1060
674	2194	1056
675	2195	1052
676	2197	1048
677	2201	1045
678	2203	1041
679	2204	1037
680	2206	1033
681	2207	1029
682	2209	1025
683	2210	1021
684	2212	1017
685	2216	1014
686	2217	1010
687	2219	1006
688	2221	1002
689	2223	999
690	2225	995
691	2226	991
692	2233	989
693	2235	985
694	2237	981
695	2239	978
696	2241	974
697	2243	970
698	2247	968
699	2249	964
700	2251	960
701	2253	956
702	2255	952
703	2257	949
704	2262	946
705	2265	943
706	2268	939
707	2269	936
708	2271	932
709	2272	928
710	2274	924
711	2280	922
712	2282	918
713	2283	914
714	2285	911
715	2286	907
716	2288	903
717	2294	901
718	2296	897
719	2298	893
720	2299	889
721	2303	886
722	2304	883
723	2308	879
724	2309	876
725	2311	872
726	2313	868
727	2314	864
728	2316	861
729	2317	857
730	2319	853
731	2321	849
732	2325	847
733	2327	843
734	2329	840
735	2331	836
736	2334	833
737	2340	830
738	2342	827
739	2344	823
740	2346	820
741	2348	816
742	2349	812
743	2351	809
744	2357	806
745	2359	803
746	2365	801
747	2367	797
748	2375	795
749	2377	792
750	2378	788
751	2380	785
752	2390	784
753	2393	780
754	2396	777
755	2399	774
756	2408	773
757	2426	774
758	2429	771
759	2430	767
760	2433	764
761	2441	762
762	2444	759
763	2446	755
764	2454	753
765	2457	750
766	2460	747
767	2462	743
768	2470	742
769	2476	739
770	2479	736
771	2487	734
772	2490	731
773	2492	727
774	2503	726
775	2505	723
776	2507	719
777	2511	716
778	2515	713
779	2517	710
780	2519	706
781	2533	706
782	2536	702
783	2538	699
784	2558	700
785	2565	698
786	2567	694
787	2570	691
788	2572	687
789	2587	687
790	2589	684
791	2591	680
792	2621	684
793	2624	680
794	2631	678
795	2634	675
796	2641	672
797	2651	671
798	2655	668
799	2663	665
800	2666	662
801	2668	658
802	2686	658
803	2688	655
804	2700	654
805	2706	651
806	2711	648
807	2713	644
808	2715	641
809	2718	637
810	2726	635
811	2729	631
812	2731	628
813	2732	624
814	2736	621
815	2739	617
816	2741	614
817	2744	610
818	2746	606
819	2748	603
820	2752	600
821	2755	596
822	2757	592
823	2759	589
824	2760	585
825	2762	581
826	2763	578
827	2767	574
828	2769	571
829	2771	567
830	2772	563
831	2774	560
832	2775	556
833	2777	552
834	2783	550
835	2786	546
836	2788	543
837	2789	539
838	2791	535
839	2792	531
840	2794	528
841	2798	525
842	2799	521
843	2801	517
844	2803	514
845	2804	510
846	2806	507
847	2808	503
848	2812	500
849	2813	496
850	2815	492
851	2816	489
852	2818	485
853	2820	482
854	2821	478
855	2823	474
856	2824	471
857	2831	468
858	2833	465
859	2835	461
860	2837	458
861	2838	454
862	2840	450
863	2845	447
864	2847	444
865	2849	440
866	2853	437
867	2854	434
868	2856	430
869	2860	427
870	2862	423
871	2864	420
872	2866	416
873	2868	413
874	2869	409
875	2871	406
876	2877	403
877	2879	400
878	2882	396
879	2884	393
880	2886	389
881	2890	386
882	2892	383
883	2894	379
884	2896	376
885	2898	372
886	2900	369
887	2902	366
888	2906	362
889	2908	359
890	2911	356
891	2913	352
892	2915	349
893	2917	345
894	2922	342
895	2925	339
896	2927	336
897	2929	332
898	2932	329
899	2937	326
900	2939	323
901	2941	319
902	2943	316
903	2945	312
904	2947	309
905	2953	306
906	2955	303
907	2957	299
908	2959	296
909	2962	292
910	2964	289
911	2969	286
912	2971	283
913	2973	279
914	2975	276
915	2977	273
916	2979	269
917	2981	266
918	2983	262
919	2985	259
920	2987	256
921	2989	252
922	2990	249
923	2991	246
924	2993	242
925	2996	239
926	2998	236
927	3000	232
928	3001	229
929	3003	226
930	3004	222
931	3006	219
932	3013	216
933	3016	213
934	3018	209
935	3020	206
936	3022	203
937	3029	200
938	3041	197
939	3050	194
940	3053	191
941	3055	188
942	3059	184
943	3063	181
944	3066	178
945	3068	175
946	3077	172
947	3081	169
948	3083	165
949	3089	162
950	3093	159
951	3095	156
952	3097	152
953	3100	149
954	3103	146
955	3105	142
956	3108	139
957	3110	136
958	3121	133
959	3133	130
960	3141	127
961	3144	124
962	3147	120
963	3150	117
964	3155	114
965	3157	111
966	3159	107
967	3165	104
968	3167	101
969	3174	98
970	3180	94
971	3182	91
972	3195	88
973	3197	85
974	3201	82
975	3210	78
976	3212	75
977	3213	72
978	3216	68
979	3223	65
980	3225	62
981	3228	59
982	3237	55
983	3243	52
984	3250	49
985	3254	46
986	3256	42
987	3260	39
988	3270	36
989	3281	33
990	3286	29
991	3289	26
992	3292	23
993	3297	19
994	3305	16
995	3307	13
996	3318	9
997	3320	6
998	3321	3
999	3325	0
